EXECUTE	BOOL		VAR_INPUT
ROBOT_POS_INPUT	ARRAY[0..3] OF LREAL		VAR_INPUT
DONE	BOOL		VAR_OUTPUT
ROBOT_POS_JOINT_OUTPUT	ARRAY[0..3] OF REAL		VAR_OUTPUT
ROBOT_POS_WORLD_OUTPUT	ARRAY[0..3] OF REAL		VAR_OUTPUT
WORLD_LREAL	ARRAY[0..3] OF LREAL		VAR_OUTPUT
TY	LREAL		VAR
TZ	LREAL		VAR
R_TOOL	LREAL		VAR
TH_TOOL	LREAL		VAR
A1	LREAL		VAR
A2	LREAL		VAR
A3	LREAL		VAR
WY	LREAL		VAR
WZ	LREAL		VAR
I	INT		VAR
ROBOT_L1_LREAL	LREAL		VAR_EXTERNAL
ROBOT_L2_LREAL	LREAL		VAR_EXTERNAL
ROBOT_L3_LREAL	LREAL		VAR_EXTERNAL
ROBOT_L4_LREAL	LREAL		VAR_EXTERNAL
ROBOT_TOOL_Y_LREAL	LREAL		VAR_EXTERNAL
ROBOT_TOOL_Z_LREAL	LREAL		VAR_EXTERNAL
PI	LREAL		VAR_EXTERNAL
DEGREE_TO_RAD	LREAL		VAR_EXTERNAL
